filepath,label,severity
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10012.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10018.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10030.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10032.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\1004.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10050.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10056.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10059.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10070.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10082.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10115.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10169.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10191.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10199.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10204.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10207.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10210.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10217.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10249.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10254.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\1026.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\1029.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10315.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10337.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10342.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10345.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10347.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10366.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10374.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10386.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10388.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10393.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10404.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10410.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10423.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10434.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10436.jpg,Damaged_Infrastructure,high
Comprehensive Disaster Dataset(CDD)\CDD_Augmented\Damaged_Infrastructure\10442.jpg,Damaged_Infrastructure,high
